TBL_NM,PRD_DE,TBL_ID,ITM_NM,ITM_NM_ENG,ITM_ID,UNIT_NM,ORG_ID,UNIT_NM_ENG,C1_OBJ_NM,C1_OBJ_NM_ENG,DT,PRD_SE,C1,C1_NM,C1_NM_ENG,LST_CHN_DE
주요지표(분기지표),202402,DT_200Y102,주요지표(분기지표),Main Quarterly Indicators  (reference year 2020),13103136269999,%,301,%,계정항목별,ACCOUNT,-2.1,Q,13102136269ACC_ITEM.10123,설비투자,Facilities investment,2024-07-30
주요지표(분기지표),202401,DT_200Y102,주요지표(분기지표),Main Quarterly Indicators  (reference year 2020),13103136269999,%,301,%,계정항목별,ACCOUNT,3.3,Q,13102136269ACC_ITEM.10124,건설투자,Construction investment,2024-07-30
주요지표(분기지표),202402,DT_200Y102,주요지표(분기지표),Main Quarterly Indicators  (reference year 2020),13103136269999,%,301,%,계정항목별,ACCOUNT,-1.1,Q,13102136269ACC_ITEM.10124,건설투자,Construction investment,2024-07-30
주요지표(분기지표),202401,DT_200Y102,주요지표(분기지표),Main Quarterly Indicators  (reference year 2020),13103136269999,%,301,%,계정항목별,ACCOUNT,1.6,Q,13102136269ACC_ITEM.10125,재화수출,Exports of goods,2024-07-30
주요지표(분기지표),202402,DT_200Y102,주요지표(분기지표),Main Quarterly Indicators  (reference year 2020),13103136269999,%,301,%,계정항목별,ACCOUNT,1,Q,13102136269ACC_ITEM.10125,재화수출,Exports of goods,2024-07-30
주요지표(분기지표),202401,DT_200Y102,주요지표(분기지표),Main Quarterly Indicators  (reference year 2020),13103136269999,%,301,%,계정항목별,ACCOUNT,-0.3,Q,13102136269ACC_ITEM.10126,재화수입,Imports of goods,2024-07-30
주요지표(분기지표),202402,DT_200Y102,주요지표(분기지표),Main Quarterly Indicators  (reference year 2020),13103136269999,%,301,%,계정항목별,ACCOUNT,1.4,Q,13102136269ACC_ITEM.10126,재화수입,Imports of goods,2024-07-30
주요지표(분기지표),202401,DT_200Y102,주요지표(분기지표),Main Quarterly Indicators  (reference year 2020),13103136269999,%,301,%,계정항목별,ACCOUNT,0.9,Q,13102136269ACC_ITEM.10127,내수(재고제외),Domestic demand (except inventories),2024-07-30
주요지표(분기지표),202402,DT_200Y102,주요지표(분기지표),Main Quarterly Indicators  (reference year 2020),13103136269999,%,301,%,계정항목별,ACCOUNT,-0.4,Q,13102136269ACC_ITEM.10127,내수(재고제외),Domestic demand (except inventories),2024-07-30
주요지표(분기지표),202401,DT_200Y102,주요지표(분기지표),Main Quarterly Indicators  (reference year 2020),13103136269999,%,301,%,계정항목별,ACCOUNT,3.3,Q,13102136269ACC_ITEM.10211,국내총생산(GDP)(실질 원계열 전년동기비),Gross domestic product,2024-07-30
주요지표(분기지표),202402,DT_200Y102,주요지표(분기지표),Main Quarterly Indicators  (reference year 2020),13103136269999,%,301,%,계정항목별,ACCOUNT,2.3,Q,13102136269ACC_ITEM.10211,국내총생산(GDP)(실질 원계열 전년동기비),Gross domestic product,2024-07-30
주요지표(분기지표),202401,DT_200Y102,주요지표(분기지표),Main Quarterly Indicators  (reference year 2020),13103136269999,%,301,%,계정항목별,ACCOUNT,-3.2,Q,13102136269ACC_ITEM.10212,농림어업,Agriculture forestry and fishing,2024-07-30
주요지표(분기지표),202402,DT_200Y102,주요지표(분기지표),Main Quarterly Indicators  (reference year 2020),13103136269999,%,301,%,계정항목별,ACCOUNT,-0.8,Q,13102136269ACC_ITEM.10212,농림어업,Agriculture forestry and fishing,2024-07-30
주요지표(분기지표),202401,DT_200Y102,주요지표(분기지표),Main Quarterly Indicators  (reference year 2020),13103136269999,%,301,%,계정항목별,ACCOUNT,6.5,Q,13102136269ACC_ITEM.10213,제조업,Manufacturing,2024-07-30
주요지표(분기지표),202402,DT_200Y102,주요지표(분기지표),Main Quarterly Indicators  (reference year 2020),13103136269999,%,301,%,계정항목별,ACCOUNT,4.5,Q,13102136269ACC_ITEM.10213,제조업,Manufacturing,2024-07-30
주요지표(분기지표),202401,DT_200Y102,주요지표(분기지표),Main Quarterly Indicators  (reference year 2020),13103136269999,%,301,%,계정항목별,ACCOUNT,7.4,Q,13102136269ACC_ITEM.10214,전기 가스 및 수도사업,Electricity gas and water supply,2024-07-30
주요지표(분기지표),202402,DT_200Y102,주요지표(분기지표),Main Quarterly Indicators  (reference year 2020),13103136269999,%,301,%,계정항목별,ACCOUNT,4,Q,13102136269ACC_ITEM.10214,전기 가스 및 수도사업,Electricity gas and water supply,2024-07-30
주요지표(분기지표),202401,DT_200Y102,주요지표(분기지표),Main Quarterly Indicators  (reference year 2020),13103136269999,%,301,%,계정항목별,ACCOUNT,3,Q,13102136269ACC_ITEM.10215,건설업,Construction,2024-07-30
주요지표(분기지표),202402,DT_200Y102,주요지표(분기지표),Main Quarterly Indicators  (reference year 2020),13103136269999,%,301,%,계정항목별,ACCOUNT,0,Q,13102136269ACC_ITEM.10215,건설업,Construction,2024-07-30
주요지표(분기지표),202401,DT_200Y102,주요지표(분기지표),Main Quarterly Indicators  (reference year 2020),13103136269999,%,301,%,계정항목별,ACCOUNT,1.9,Q,13102136269ACC_ITEM.10216,서비스업,Services,2024-07-30
주요지표(분기지표),202402,DT_200Y102,주요지표(분기지표),Main Quarterly Indicators  (reference year 2020),13103136269999,%,301,%,계정항목별,ACCOUNT,1.6,Q,13102136269ACC_ITEM.10216,서비스업,Services,2024-07-30
주요지표(분기지표),202401,DT_200Y102,주요지표(분기지표),Main Quarterly Indicators  (reference year 2020),13103136269999,%,301,%,계정항목별,ACCOUNT,3.3,Q,13102136269ACC_ITEM.10221,국내총생산에 대한 지출(실질 원계열 전년동기비),Expenditures on GDP,2024-07-30
주요지표(분기지표),202402,DT_200Y102,주요지표(분기지표),Main Quarterly Indicators  (reference year 2020),13103136269999,%,301,%,계정항목별,ACCOUNT,2.3,Q,13102136269ACC_ITEM.10221,국내총생산에 대한 지출(실질 원계열 전년동기비),Expenditures on GDP,2024-07-30
주요지표(분기지표),202401,DT_200Y102,주요지표(분기지표),Main Quarterly Indicators  (reference year 2020),13103136269999,%,301,%,계정항목별,ACCOUNT,1,Q,13102136269ACC_ITEM.10222,민간소비,Private consumption,2024-07-30
주요지표(분기지표),202402,DT_200Y102,주요지표(분기지표),Main Quarterly Indicators  (reference year 2020),13103136269999,%,301,%,계정항목별,ACCOUNT,0.9,Q,13102136269ACC_ITEM.10222,민간소비,Private consumption,2024-07-30
주요지표(분기지표),202401,DT_200Y102,주요지표(분기지표),Main Quarterly Indicators  (reference year 2020),13103136269999,%,301,%,계정항목별,ACCOUNT,-1,Q,13102136269ACC_ITEM.10223,설비투자,Facilities investment,2024-07-30
주요지표(분기지표),202402,DT_200Y102,주요지표(분기지표),Main Quarterly Indicators  (reference year 2020),13103136269999,%,301,%,계정항목별,ACCOUNT,-3.4,Q,13102136269ACC_ITEM.10223,설비투자,Facilities investment,2024-07-30
주요지표(분기지표),202401,DT_200Y102,주요지표(분기지표),Main Quarterly Indicators  (reference year 2020),13103136269999,%,301,%,계정항목별,ACCOUNT,1.6,Q,13102136269ACC_ITEM.10224,건설투자,Construction investment,2024-07-30
주요지표(분기지표),202402,DT_200Y102,주요지표(분기지표),Main Quarterly Indicators  (reference year 2020),13103136269999,%,301,%,계정항목별,ACCOUNT,0.2,Q,13102136269ACC_ITEM.10224,건설투자,Construction investment,2024-07-30
